label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,539ad95ea77939f8f9a3483407086411,3.8865,0.11049,0.11652840450551184,0.7520502921448325
direct,53e1d0645ff2afc54c3aee8e9d3a6ffa,3.1106,0.458905,0.24792836989564426,0.8170638838049157
direct,54547a5cbc7cd402c955e5ed03ef3a2f,3.6275,0.480468,0.03140545385165245,0.6052736037824682
direct,54ad30894e9c74f28abdeb0a990504a,3.6788,0.142508,0.05888798446811974,0.6322563504515218
direct,550e62946d2f55554bce3147c41ec725,3.276,0.646388,0.10326036850325421,0.738253413886239
direct,55a09adb1315764f8a766d8de50bb39d,4.3358,0.316743,0.05683463048746147,0.7740154796193955
direct,55c97131574186c0d4d8765e3910f617,3.6027,0.90819,0.074167616237191,0.6994991301824892
direct,55cf3c1207e421a29e3e34eaf1f39535,2.9234,0.082984,0.14038686533100675,0.8423978962304587
direct,55f0e38a64ba2c2d813b65629a36678,2.8888,0.166426,0.16158112112287595,0.17719193817318177
direct,563569e15313d7eb89e13811ad04f53f,3.5009,0.116617,0.07763596367058688,0.5612188117118659
direct,564813720bdb0cd93321831d2245cf06,86.1399,0.505028,0.07122703071903273,0.7576315633554955
direct,56e1f35c70ad2859c59350d819542ec7,79.0027,0.644124,0.1693478575577987,0.7217652709678273
direct,57041ab17b34eba1f49237e570f62c8f,3.1298,0.026085,0.40239171870621504,0.7600764688887666
direct,571dd1b4d09773c5bbe43d356df0e955,3.9359,0.207495,0.09536942201368423,0.7448800896408588
direct,574447022c4473d455f46d55537192b6,3.8772,0.439442,0.04202866610323256,0.6750225423916589
direct,575289640b8fe387a0c6c5e8898c5f38,3.8131,0.067736,0.090625634357895,0.6404072589431536
direct,578b801e35fd2defd4d8765e3910f617,3.2465,0.759457,0.07920195039874356,0.739395792456573
direct,578ba0e5871fd931b8e562d273208aea,3.6679,0.109675,0.1597102196688957,0.6451618736106632
direct,57b4898f5b94a5a89d297e74104d3ac3,3.4855,0.44025,0.13201397704670267,0.857078581259617
direct,589c1f69b5a29cb7b362845c6edb57fc,5.6308,0.414476,0.14751329291901827,0.7998449796961337
direct,58bc4edaefdf3b0e1db42cf774e49bf,24.2679,0.283124,0.120676873387708,0.7998818430353327
direct,591613a69c2e212f78c0a4707b40a908,57.4222,0.301938,0.16748292832229486,0.7678088666052157
direct,59bf155f2c4d655894c7c2dce500aa02,39.3571,0.277609,0.17076027046093115,0.6643505870713899
direct,59c7c6a65cf462be43acec71ba42b6b7,5.9913,0.513648,0.07478841872566637,0.6233080361930016
direct,5a34a535ced91869354ab1decf4fe605,5.5697,0.102702,0.04674663273915466,0.7099473949522239
direct,5a79d517ab366c52ccd0340812259a39,85.5139,0.556533,0.048735748263455336,0.6935401241778874
direct,5a86b8c93baf8ad0a9030dd33d75b731,4.2266,0.832817,0.1064619684073699,0.7118347270174072
direct,5aa9a03af76807fa94f937d854219137,17.6815,0.593715,0.0420948948993379,0.7477192797610759
