group,experiment_id,angular_error_deg
independent,axis_v05,88.6678
independent,axis_v05,2.9982
independent,axis_v05,84.8798
independent,axis_v05,3.872
independent,axis_v05,1.8138
independent,axis_v05,12.8922
independent,axis_v05,87.1513
independent,axis_v05,7.49
independent,axis_v05,3.7032
independent,axis_v05,7.099
independent,axis_v05,25.0778
independent,axis_v05,78.0557
independent,axis_v05,89.1514
independent,axis_v05,4.6129
independent,axis_v05,87.2276
independent,axis_v05,9.5471
independent,axis_v05,9.0937
independent,axis_v05,86.964
independent,axis_v05,87.7932
independent,axis_v05,3.6486
independent,axis_v05,80.2655
independent,axis_v05,78.0332
independent,axis_v05,7.5109
independent,axis_v05,15.7568
independent,axis_v05,8.9263
independent,axis_v05,11.2987
independent,axis_v05,6.1199
independent,axis_v05,38.4103
independent,axis_v05,84.2675
independent,axis_v05,4.1375
independent,axis_v05,2.7196
independent,axis_v05,6.8016
independent,axis_v05,5.3276
independent,axis_v05,13.5366
independent,axis_v05,19.0016
independent,axis_v05,5.2729
independent,axis_v05,0.8466
independent,axis_v05,80.902
independent,axis_v05,89.3711
independent,axis_v05,1.9994
independent,axis_v05,5.5085
independent,axis_v05,4.5854
independent,axis_v05,8.9973
independent,axis_v05,3.9005
independent,axis_v05,79.3932
independent,axis_v05,85.1859
independent,axis_v05,90.0
independent,axis_v05,89.6674
independent,axis_v05,80.4039
independent,axis_v05,7.2195
independent,axis_v05,77.35
independent,axis_v05,19.9162
independent,axis_v05,11.2106
independent,axis_v05,10.968
independent,axis_v05,88.7657
independent,axis_v05,84.6449
independent,axis_v05,16.3618
independent,axis_v05,21.437
independent,axis_v05,75.8869
independent,axis_v05,64.51
independent,axis_v05,4.2514
independent,axis_v05,70.329
independent,axis_v05,76.9567
independent,axis_v05,3.3934
independent,axis_v05,62.4409
independent,axis_v05,76.1535
independent,axis_v05,8.1841
independent,axis_v05,84.6603
independent,axis_v05,17.0547
independent,axis_v05,86.3475
independent,axis_v05,51.1749
independent,axis_v05,4.1354
independent,axis_v05,0.4202
independent,axis_v05,12.2151
independent,axis_v05,3.2477
independent,axis_v05,6.5812
independent,axis_v05,63.2548
independent,axis_v05,8.5442
independent,axis_v05,10.6342
independent,axis_v05,67.318
independent,axis_v05,89.7737
independent,axis_v05,20.7447
independent,axis_v05,82.7542
independent,axis_v05,88.637
independent,axis_v05,6.7508
independent,axis_v05,26.4331
independent,axis_v05,89.9991
independent,axis_v05,86.2434
independent,axis_v05,76.2489
